Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2086170134612,19.3141270256725,19.393099104146,19.4073761340579,19.4132872799038,19.5005234337253,19.2578373600558,19.0292830200023,18.8632434110929,18.758865706334,18.6879844366468,18.9074009075224,19.1964117743882,19.4998722285191,19.7844927205775,20.0469420230867,19.7133752209652,19.3926142238477,19.1418757427166,19.0169434500566,19.0495022175564,19.5895371326682,20.2664693437509,21.622491259185,23.07292148994,24.6200696996542,26.2840635684821,28.0631556853817,28.6666579520661,28.9252325847449,29.1781708144314
Angola,AGO,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.8838749336975,94.771498003339,94.6047817347651,94.2771952125523,94.2774370108328,94.4568480172529,94.5533355642006,94.6704671739503,94.8216705251551,94.9792207747424,95.1568469239494,95.2100924697951,95.3789312221978,95.474076480431,95.6489827103327,95.8519479027447,95.8900985938495,95.9735733987358,96.0456798422099,96.0243528951533,96.0644548442702,95.9786895559767,95.9950432141307,96.0199671816476,96.0854944294502,96.1570055160603,96.1797587278962,96.2805555464429,96.4054590145976,96.4809342486454,96.5559184544899
Albania,ALB,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.5744408185968,76.8415749769105,77.5687771676961,76.4577420835524,75.6370420729951,74.559131207624,73.5665337991632,74.3081762237013,73.3940028039394,72.3216635286488,71.7597379856284,71.2895781879328,71.1127759550762,71.1318776129923,71.2425585188899,71.4373005457622,71.7468098611334,72.1042352181434,72.493153360079,70.1009400903082,72.7589290777712,73.1632502874508,73.6203240094535,70.7199203213307,69.2918307787245,72.2262257052856,72.1490439616252,72.1710705215709,72.3054824987412,72.3454361704051,72.3739002946449
Andorra,AND,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1019263124547,26.2117239502145,26.0905148905201,26.3016100998972,26.7789688659798,26.8849807106997,26.9169171581372,26.7571118463091,26.7572009380755,27.3314085390571,27.5216675132595,27.7609989925869,27.3370289058704,27.7802423842543,28.0781946812249,28.3670429438277,28.8108659679344,29.6601030698945,29.3622157233873,29.8491185086962,30.0065599947677,30.1580847317269,30.4956252395953,30.8846625669496,31.0654837335081,31.2038700264203,31.5709828672601,31.090192871201,31.0539361623329,31.0952129129115,31.1231881260094
United Arab Emirates,ARE,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1654728324238,32.0349244382192,32.6671829951618,33.4530017361844,33.7254713565925,33.9515966499555,34.5936457591181,35.2270871613309,35.8340922899669,36.4064463704265,36.9360196294239,37.6409379048315,38.3075258853411,38.9687620653254,39.624490491956,40.2655988040747,41.827069433456,43.1717375050421,44.4024995976301,45.582319098767,46.7408881907206,48.0159648876158,49.3617053978244,50.7506238166465,52.129315135471,53.4496959842057,54.7159163104093,56.2098088785948,56.0856195851554,56.0997535840116,56.0992788480358
Argentina,ARG,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.69245781777,60.8199351616479,61.948225523333,63.1690489992485,64.1223930595387,64.0444980866476,64.9209030237275,66.0335583869408,66.6360199741813,66.3384942012655,66.3117691932239,65.928273856256,64.6705846699804,65.6237140259371,66.6088031182825,65.746507912547,66.4255042236241,65.7024184560494,65.0059932256211,65.9389981311553,64.8332940836551,65.0621927505415,65.5462900134458,65.1819821778528,64.7163446187494,65.7528214132469,66.817133414536,67.8793342668499,69.7989357071651,69.7387575007602,69.6677330022768
Armenia,ARM,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.1737928180851,69.3309151970058,69.565922695911,69.8641345800858,70.204360868144,70.5749794767627,70.9936150530011,71.407421205775,71.8197791510494,72.2278110830709,72.6166851215241,72.8018333867863,72.9280014419454,72.9826395192176,72.947720005148,72.8300461296557,72.5996240033941,72.328856189392,72.0215711773096,71.9013568292118,69.6320066966977,73.3846652866048,73.738104781299,74.1413232421038,73.9399598073781,73.432373891848,71.2746340463958,71.5745416102429,71.4936417462472,71.4465684747036,71.4344391869432
American Samoa,ASM,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0297133873467,69.5422577589274,69.9815524426986,70.21940760103,71.3896560748982,72.5414701443735,73.0138258981734,73.3097530768354,73.6946775526309,74.1563864839959,75.5128590213535,76.5345319404662,76.9323665740521,78.1627322691509,77.8818090602054,79.0204004140685,79.6795540322642,80.1764940792261,80.731527029773,81.3358227847301,81.0427266481111,81.6219573806744,81.9930410576114,82.2468068577795,82.6627066692313,83.0748347444549,83.8852419544146,84.4453543904416,84.9964099114366,85.1033750337968,85.2146480571831
